class,gr_min,gr_max,iz_min,iz_max,gi_min,gi_max,color
C,  0.350,  0.600,  0.000,  0.150, 0.50, 0.65 ,blue
S,  0.550,  0.850, -0.200,  0.060, 0.65, 1.00 ,red
B,  0.300,  0.550, -0.100,  0.000, 0.20, 0.60 ,lightblue
L,  0.600,  0.850,  0.060,  0.130, 0.80, 1.00 ,green
D,  0.530,  0.850,  0.110,  0.340, 0.70, 1.00 ,purple
K,  0.550,  0.630, -0.006,  0.060, 0.70, 0.95 ,orange
X,  0.480,  0.600,  0.040,  0.110, 0.55, 0.85 ,darkgray
Q,  0.600,  0.650, -0.200, -0.080, 0.60, 0.85 ,gold
V,  0.550,  0.900, -0.700, -0.200, 0.65, 1.00 ,brown
A,  0.700,  0.900, -0.200, -0.030, 1.00, 1.10 ,yellow

